deskripsi_laporan,jenis_infrastruktur,kota_administrasi,tingkat_kerusakan,date_laporan,tingkat_kerusakan_encoded
ada celah kecil di aspal jalan dekat jalan ahmad yani,jalan,jakarta pusat,ringan,2025-11-04 00:47:17,0
jalan jalan pluit berlubng cukup dalam sekitar 5 cm,jalan,jakarta timur,sedang,2025-04-08 04:47:06,1
trotoar jalan ahmad yani perlu pengecatan ulang marka sudah pudar,trotoar,kepulauan seribu,ringan,2025-11-24 17:05:37,0
lampu penerangan di jalan tb simatupang kurang terang perlu diganti,lampu jalan,jakarta timur,ringan,2025-07-02 00:05:13,0
kabel fiber jalan hayam wuruk tergantung rendah bahaya bgt bagi kendaraan tinggi,kabel fiber,jakarta barat,sedang,2025-04-17 19:01:35,1
ubin trotoar di jalan sisingamangaraja mulai longgar tapi masih aman,trotoar,jakarta utara,ringan,2025-04-23 20:44:34,0
trotoar jalan casablanca berlubang dan berbahaya bagi pejalan kaki,trotoar,jakarta selatan,sedang,2025-07-08 14:37:17,1
taman jalan raya pasar minggu banyak vandalisme coretan di fasilitas umum,taman,jakarta timur,sedang,2025-01-25 05:44:27,1
got jalan ciledug raya ada sedikit sampah yang menghambat aliran air,drainase,jakarta barat,ringan,2025-06-09 04:13:48,0
rel pagar jembatan di jalan ciledug raya berkarat perlu perawatan,jembatan,kepulauan seribu,ringan,2025-06-04 02:24:06,0
jembatan jalan meruya ambles parah dan menutup akses jalan utama,jembatan,jakarta timur,berat,2025-06-28 11:38:16,2
jalan jalan fatmawati rsak berat hampir tidak bisa dilalui kendaraan sudah dilaporkan ke rt tapi belum ada respons,jalan,jakarta selatan,berat,2025-01-24 14:34:07,2
trotoar jalan ahmad yani perlu pengecatan ulang marka sudah pudar,trotoar,jakarta selatan,ringan,2025-07-03 17:18:53,0
kondisi trotoar jalan gajah mada sangat kritis dan berbahaya harus segera diperbaiki,trotoar,kepulauan seribu,berat,2025-11-20 11:36:12,2
jalan di jalan ahmad yani mulai retak namun masih bisa dilalui,jalan,kepulauan seribu,ringan,2025-12-03 01:42:14,0
tiang lampu jalan jalan meruya patah miring hampir jatuh ke jalan,lampu jalan,jakarta selatan,berat,2025-05-03 07:55:06,2
lampu jalan di gang melati redup tidak seterang biasanya,lampu jalan,jakarta selatan,ringan,2025-07-09 14:40:53,0
