id,deskripsi_laporan,jenis_infrastruktur,kota_administrasi,tingkat_kerusakan,date_laporan
1,Ada celah kecil di aspal jalan dekat Jalan Ahmad Yani,Jalan,Jakarta Pusat,Ringan,2025-11-04 00:47:17
2,Jalan Jalan Pluit berlubng cukup dalam sekitar 5 cm,Jalan,Jakarta Timur,Sedang,2025-04-08 04:47:06
3,Trotoar Jalan Ahmad Yani perlu pengecatan ulang marka sudah pudar,Trotoar,Kepulauan Seribu,Ringan,2025-11-24 17:05:37
4,Lampu penerangan di Jalan TB Simatupang kurang terang perlu diganti,Lampu Jalan,Jakarta Timur,Ringan,2025-07-02 00:05:13
5,Kabel fiber Jalan Hayam Wuruk tergantung rendah bahaya bgt bagi kendaraan tinggi,Kabel Fiber,Jakarta Barat,Sedang,2025-04-17 19:01:35
6,Ubin trotoar di Jalan Sisingamangaraja mulai longgar tapi masih aman,Trotoar,Jakarta Utara,Ringan,2025-04-23 20:44:34
7,Trotoar Jalan Casablanca berlubang dan berbahaya bagi pejalan kaki,Trotoar,Jakarta Selatan,Sedang,2025-07-08 14:37:17
8,Taman Jalan Raya Pasar Minggu banyak vandalisme coretan di fasilitas umum,Taman,Jakarta Timur,Sedang,2025-01-25 05:44:27
9,Got Jalan Ciledug Raya ada sedikit sampah yang menghambat aliran air,Drainase,Jakarta Barat,Ringan,2025-06-09 04:13:48
10,Rel pagar jembatan di Jalan Ciledug Raya berkarat perlu perawatan,Jembatan,Kepulauan Seribu,Ringan,2025-06-04 02:24:06
11,Jembatan Jalan Meruya ambles parah dan menutup akses jalan utama,Jembatan,Jakarta Timur,Berat,2025-06-28 11:38:16
12,Jalan Jalan Fatmawati rsak berat hampir tidak bisa dilalui kendaraan sudah dilaporkan ke RT tapi belum ada respons,Jalan,Jakarta Selatan,Berat,2025-01-24 14:34:07
13,Trotoar Jalan Ahmad Yani perlu pengecatan ulang marka sudah pudar,Trotoar,Jakarta Selatan,Ringan,2025-07-03 17:18:53
14,Kondisi trotoar Jalan Gajah Mada sangat kritis dan berbahaya harus segera diperbaiki,Trotoar,Kepulauan Seribu,Berat,2025-11-20 11:36:12
15,Jalan di Jalan Ahmad Yani mulai retak namun masih bisa dilalui,Jalan,Kepulauan Seribu,Ringan,2025-12-03 01:42:14
16,Tiang lampu jalan Jalan Meruya patah miring hampir jatuh ke jalan,Lampu Jalan,Jakarta Selatan,Berat,2025-05-03 07:55:06
17,Lampu jalan di Gang Melati redup tidak seterang biasanya,Lampu Jalan,Jakarta Selatan,Ringan,2025-07-09 14:40:53
18,Retakan halus di aspal jalan Jalan Gunung Sahari perlu perhatian,Jalan,Jakarta Barat,Ringan,2025-06-06 11:22:13
19,Jalan Jalan Otista rusak berat hampir tidak bisa dilalui kendaraan,Jalan,Jakarta Utara,Berat,2025-11-09 22:59:43
20,Beberapa pot tanaman di taman Jalan Haji Nawi retak kecil,Taman,Jakarta Selatan,Ringan,2025-11-03 19:40:10
21,Ada celah kecil di aspal jalan dekat Jalan Kebon Jeruk,Jalan,Jakarta Pusat,Ringan,2025-09-24 07:10:29
22,Kerusakan jalan di Gang Dahlia cukup parah ada beberapa lubang,Jalan,Jakarta Barat,Sedang,2025-07-09 20:44:35
23,Cat jembatan di Jalan Gunung Sahari mulai mengelupas perlu dicat ulang,Jembatan,Jakarta Barat,Ringan,2025-04-22 10:53:49
24,Jalan Jalan Gajah Mada mengalami retak kecil sepanjang 30 meter,Jalan,Jakarta Timur,Ringan,2025-01-08 01:51:20
25,Jembatan Jalan Ahmad Yani rusak berat tidak layak dilalui kendaraan apapun,Jembatan,Jakarta Pusat,Berat,2025-07-09 02:13:58
26,Beberapa pot tanaman di taman Jalan Haji Nawi retak kecil anak anak sering lewat sini,Taman,Jakarta Barat,Ringan,2025-10-29 22:20:13
27,Ada kabel fiber di Jalan Warung Buncit yang pengikatnya lepas,Kabel Fiber,Jakarta Timur,Ringan,2025-11-16 12:56:58
28,Saluran air Gang Melati tersumbat dan bau tidak sedap menyebar,Drainase,Jakarta Timur,Sedang,2025-11-15 04:16:08
